PROVINCIA;MUNICIPIO;ESTACION;TIPO_ESTACION;TIPO_AREA;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;4;1;9.0;12.0;13.0;11.0;10.0;11.0;13.0;17.0;15.0;8.0;4.0;3.0;3.0;3.0;1.0;1.0;2.0;5.0;8.0;16.0;18.0;16.0;12.0;11.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;4;2;12.0;16.0;16.0;17.0;12.0;13.0;16.0;21.0;20.0;15.0;11.0;6.0;7.0;10.0;16.0;16.0;14.0;11.0;12.0;13.0;14.0;13.0;12.0;10.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;4;3;6.0;4.0;9.0;15.0;17.0;20.0;32.0;44.0;39.0;29.0;19.0;14.0;;;;15.0;15.0;13.0;14.0;12.0;13.0;11.0;9.0;5.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;4;4;6.0;7.0;6.0;6.0;5.0;4.0;8.0;16.0;16.0;14.0;8.0;5.0;5.0;7.0;7.0;7.0;7.0;8.0;9.0;10.0;12.0;13.0;12.0;10.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;4;5;10.0;11.0;10.0;8.0;8.0;8.0;7.0;10.0;11.0;7.0;5.0;4.0;3.0;3.0;3.0;4.0;3.0;6.0;6.0;7.0;8.0;7.0;7.0;5.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;4;9;6.0;6.0;7.0;7.0;6.0;9.0;10.0;13.0;12.0;13.0;11.0;9.0;8.0;5.0;3.0;3.0;4.0;4.0;5.0;7.0;10.0;11.0;10.0;6.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;4;10;4.0;5.0;6.0;7.0;6.0;8.0;16.0;22.0;18.0;10.0;7.0;6.0;5.0;3.0;5.0;8.0;8.0;8.0;7.0;9.0;9.0;8.0;6.0;5.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;4;12;14.0;12.0;12.0;12.0;16.0;17.0;25.0;32.0;26.0;22.0;15.0;6.0;4.0;3.0;5.0;6.0;7.0;6.0;11.0;15.0;19.0;19.0;16.0;16.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;4;17;19.0;19.0;16.0;13.0;13.0;14.0;16.0;18.0;16.0;13.0;11.0;10.0;7.0;10.0;14.0;19.0;25.0;33.0;38.0;38.0;38.0;37.0;32.0;29.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;4;19;6.0;7.0;5.0;3.0;2.0;3.0;6.0;6.0;6.0;6.0;5.0;4.0;7.0;5.0;4.0;3.0;4.0;4.0;6.0;8.0;9.0;9.0;8.0;14.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;4;20;19.0;21.0;15.0;11.0;10.0;10.0;11.0;11.0;12.0;11.0;9.0;8.0;8.0;10.0;10.0;12.0;15.0;16.0;15.0;16.0;18.0;18.0;12.0;9.0
